Nb;CostH1yr;CostMRR1yr;CostYRR1yr;CostH3yr;CostMRR3yr;CostYRR3yr1yr;CostYRR3yr;ODH;ODMRR;ODYRR;SnapG/M;gp2G/M;gp3G/M;io1G/M;st1G/M;s3<50T;s3<450T;s3>500T;glacierG/M;Ec2Type;CPU;RAM;SAPS;Hana;S/4;BW/4;PROD;OS;Region Code;Region Name
22;0,5818;424,72;5096,67;0,4081;297,93;3575,16;10725,49;0,9489;692,67;8312,07;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5n.4xlarge;16;42;21200;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
23;1,2449;908,78;10905,37;0,8599;627,71;7532,58;22597,73;2,0013;1460,92;17531,04;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5n.9xlarge;36;96;47700;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
24;0,0873;63,71;764,5;0,0642;46,84;562,13;1686,4;0,1532;111,8;1341,62;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5n.large;2;5,25;2650;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
25;0,1754;128,04;1536,5;0,1292;94,31;1131,76;3395,28;0,2584;188,63;2263,52;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c5n.xlarge;4;10,5;5300;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
26;1,2331;900,17;10802,01;0,8594;627,33;7527,93;22583,79;1,8996;1386,72;16640,62;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.12xlarge;48;96;68725;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
27;1,627;1187,74;14252,83;1,1304;825,2;9902,38;29707,13;2,4972;1822,93;21875,2;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.16xlarge;64;128;91633;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
28;2,4149;1762,86;21154,32;1,6725;1220,93;14651,2;43953,59;3,6923;2695,36;32344,36;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.24xlarge;96;192;137450;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
29;0,2483;181,26;2175,08;0,1817;132,66;1591,96;4775,88;0,4057;296,18;3554,18;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.2xlarge;8;16;11454;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
30;3,2027;2337,99;28055,88;2,2146;1616,66;19399,94;58199,83;4,8874;3567,79;42813,51;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.32xlarge;128;256;183267;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
31;4,7784;3488,25;41859,01;3,2988;2408,13;28897,58;86692,75;7,2776;5312,65;63751,82;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.48xlarge;192;384;274900;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
32;0,4453;325,04;3900,45;0,3172;231,59;2779,11;8337,32;0,7045;514,29;6171,47;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.4xlarge;16;32;22908;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
33;0,8392;612,61;7351,27;0,5883;429,46;5153,56;15460,67;1,3021;950,5;11406,04;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.8xlarge;32;64;45817;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
34;0,0706;51,56;618,72;0,0527;38,47;461,7;1385,09;0,1229;89,69;1076,3;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.large;2;4;2864;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
35;0,1413;103,12;1237,44;0,1063;77,57;930,89;2792,67;0,1976;144,22;1730,62;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6a.xlarge;4;8;5727;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
36;1,3643;995,96;11951,54;0,9497;693,28;8319,41;24958,23;2,0988;1532,12;18385,48;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6i.12xlarge;48;96;70793;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
37;1,802;1315,48;15785,73;1,2509;913,13;10957,61;32872,84;2,7627;2016,81;24201,68;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6i.16xlarge;64;128;94390;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
38;2,6774;1954,51;23454,12;1,8532;1352,84;16234,09;48702,26;4,0906;2986,17;35834,07;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6i.24xlarge;96;192;141585;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
39;0,2701;197,17;2366,05;0,1968;143,66;1723,87;5171,62;0,4389;320,42;3844,99;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6i.2xlarge;8;16;11799;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
40;3,5528;2593,54;31122,5;2,4555;1792,55;21510,56;64531,69;5,4185;3955,54;47466,47;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6i.32xlarge;128;256;188780;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
41;0,4889;356,93;4283,15;0,3474;253,58;3042,94;9128,81;0,7709;562,76;6753,09;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6i.4xlarge;16;32;23598;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
42;0,9266;676,45;8117,34;0,6485;473,43;5681,21;17043,63;1,4348;1047,44;12569,28;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6i.8xlarge;32;64;47195;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
43;0,0761;55,56;666,69;0,0569;41,54;498,42;1495,27;0,1312;95,75;1149;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6i.large;2;4;2950;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
44;0,1522;111,11;1333,3;0,1138;83,07;996,85;2990,55;0,2142;156,34;1876,02;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6i.xlarge;4;8;5899;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
45;1,559;1138,09;13657,12;1,0801;788,48;9461,74;28385,22;2,5002;1825,18;21902,18;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6id.12xlarge;48;96;70793;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
46;2,0616;1504,98;18059,82;1,4247;1040,06;12480,77;37442,3;3,298;2407,55;28890,61;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6id.16xlarge;64;128;94390;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
47;3,0668;2238,77;26865,21;2,114;1543,23;18518,74;55556,23;4,8935;3572,29;42867,48;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6id.24xlarge;96;192;141585;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
