Nb;CostH1yr;CostMRR1yr;CostYRR1yr;CostH3yr;CostMRR3yr;CostYRR3yr1yr;CostYRR3yr;ODH;ODMRR;ODYRR;SnapG/M;gp2G/M;gp3G/M;io1G/M;st1G/M;s3<50T;s3<450T;s3>500T;glacierG/M;Ec2Type;CPU;RAM;SAPS;Hana;S/4;BW/4;PROD;OS;Region Code;Region Name
1176;0,0065;4,75;56,96;0,0044;3,25;38,97;116,92;0,0103;7,5;89,94;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3.micro;2;1;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1177;0,0033;2,37;28,48;0,0022;1,62;19,49;58,46;0,0051;3,75;44,97;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3.nano;2;0,5;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1178;0,0129;9,43;113,18;0,0089;6,5;77,95;233,85;0,0205;14,99;179,88;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3.small;2;2;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1179;0,1035;75,58;906,91;0,0709;51,78;621,34;1864,03;0,1643;119,92;1439,06;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3.xlarge;4;16;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1180;0,1863;135,97;1631,68;0,1277;93,25;1119,02;3357,06;0,2957;215,86;2590,31;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3a.2xlarge;8;32;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1181;0,0465;33,98;407,73;0,0319;23,3;279,57;838,7;0,0739;53,96;647,58;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3a.large;2;8;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1182;0,0233;16,99;203,87;0,016;11,68;140,16;420,48;0,037;26,98;323,79;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3a.medium;2;4;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1183;0,0058;4,25;50,97;0,004;2,94;35,23;105,68;0,0092;6,75;80,95;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3a.micro;2;1;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1184;0,0029;2,12;25,48;0,002;1,44;17,24;51,72;0,0046;3,37;40,47;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3a.nano;2;0,5;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1185;0,0116;8,49;101,93;0,008;5,81;69,7;209,11;0,0185;13,49;161,89;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3a.small;2;2;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1186;0,0932;68,02;816,22;0,0638;46,59;559,13;1677,4;0,1478;107,93;1295,15;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;t3a.xlarge;4;16;0;0;0;0;0;Linux;eu-central-1;Europe (Frankfurt)
1187;2,1219;1548,99;18587,85;1,4657;1069,93;12839,11;38517,32;3,3933;2477,13;29725,57;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;c5.18xlarge;72;144;95400;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1188;0,2815;205,49;2465,89;0,2036;148,65;1783,83;5351,5;0,4723;344,77;4137,3;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;c5.2xlarge;8;16;10600;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1189;0,5117;373,51;4482,07;0,3619;264,2;3170,43;9511,28;0,8376;611,48;7337,7;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;c5.4xlarge;16;32;21200;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1190;1,0866;793,23;9518,78;0,7564;552,14;6625,67;19877,01;1,7506;1277,91;15334,98;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;c5.9xlarge;36;72;47700;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1191;0,0787;57,46;689,55;0,059;43,1;517,16;1551,49;0,1395;101,81;1221,7;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;c5.large;2;4;2650;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1192;0,1574;114,92;1379,1;0,1172;85,57;1026,83;3080,49;0,231;168,64;2023,68;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;c5.xlarge;4;8;5300;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1193;4,2156;3077,36;36928,36;2,7088;1977,46;23729,49;71188,46;6,2057;4530,16;54361,96;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i3en.12xlarge;48;384;69385;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1194;8,3789;6116,63;73399,52;5,3706;3920,56;47046,74;141140,23;12,3045;8982,25;107787,04;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i3en.24xlarge;96;768;138770;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1195;0,7452;544,02;6528,23;0,4903;357,89;4294,69;12884,08;1,1234;820,09;9841,07;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i3en.2xlarge;8;64;11564;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1196;1,0926;797,6;9571,24;0,7119;519,66;6235,92;18707,77;1,6316;1191,1;14293,16;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i3en.3xlarge;12;96;17346;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1197;2,133;1557,11;18685,28;1,3775;1005,59;12067,11;36201,33;3,1563;2304,12;27649,42;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i3en.6xlarge;24;192;34693;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1198;0,1951;142,41;1708,88;0,1301;94,94;1139,26;3417,77;0,302;220,48;2645,77;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i3en.large;2;16;2891;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1199;8,3789;6116,63;73399,52;5,3706;3920,56;47046,74;141140,23;12,3045;8982,25;107787,04;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i3en.metal;96;768;143230;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1200;0,3902;284,81;3417,77;0,2601;189,88;2278,51;6835,53;0,5561;405,98;4871,82;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i3en.xlarge;4;32;5782;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1201;3,0631;2236,04;26832,46;2,1938;1601,45;19217,44;57652,31;4,7281;3451,49;41417,92;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.12xlarge;384;384;73519;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1202;4,0675;2969,31;35631,71;2,9099;2124,24;25490,84;76472,51;6,269;4576,38;54916,6;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.16xlarge;64;512;98025;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1203;6,0753;4435;53220,01;4,3418;3169,51;38034,11;114102,33;9,3499;6825,46;81905,56;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.24xlarge;768;768;147038;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1204;0,5536;404,11;4849,33;0,4038;294,81;3537,69;10613,06;0,877;640,21;7682,48;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.2xlarge;8;64;12253;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1205;8,0834;5900,86;70810,33;5,7737;4214,78;50577,31;151731,93;12,4309;9074,59;108895,11;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.32xlarge;128;1024;196050;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1206;1,055;770,12;9241,46;0,7623;556,51;6678,13;20034,4;1,647;1202,34;14428,07;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.4xlarge;16;128;24506;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1207;2,0594;1503,39;18040,71;1,4785;1079,29;12951,53;38854,6;3,188;2327,23;27926,74;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.8xlarge;32;256;49013;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1208;0,1472;107,43;1289,16;0,1087;79,32;951,88;2855,63;0,2404;175,51;2106,12;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.large;2;16;3063;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1209;8,0838;5901,14;70813,71;5,7736;4214,74;50576,94;151730,81;12,4311;9074,69;108896,31;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.metal;128;1024;203600;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1210;0,2935;214,23;2570,82;0,2173;158,65;1903,76;5711,27;0,4329;316,04;3792,52;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;i4i.xlarge;4;32;6127;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1211;1,6881;1232,32;14787,83;1,1688;853,19;10238,31;30714,92;2,7046;1974,33;23692,01;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m5.12xlarge;48;192;67615;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1212;2,2331;1630,18;19562,21;1,5427;1126,14;13513,67;40541;3,5704;2606,42;31277,05;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m5.16xlarge;64;256;90153;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1213;3,324;2426,54;29118,46;2,2905;1672,03;20064,38;60193,15;5,3022;3870,59;46447,14;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m5.24xlarge;96;384;135230;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1214;0,3243;236,72;2840,64;0,2336;170,51;2046,16;6138,49;0,5399;394,12;4729,41;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m5.2xlarge;8;32;11269;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1215;0,5964;435,34;5224,08;0,4201;306,67;3680,09;11040,28;0,9728;710,16;8521,93;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m5.4xlarge;16;64;22538;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1216;1,1422;833,83;10005,96;0,794;579,62;6955,45;20866,36;1,8387;1342,25;16106,97;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m5.8xlarge;32;128;45077;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1217;0,0898;65,58;786,99;0,0659;48,09;577,12;1731,37;0,1566;114,3;1371,6;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m5.large;2;8;2817;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1218;3,324;2426,54;29118,46;2,2905;1672,03;20064,38;60193,15;5,3022;3870,59;46447,14;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m5.metal;96;384;142000;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1219;0,1788;130,54;1566,48;0,1318;96,19;1154,25;3462,74;0,2644;193;2315,99;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m5.xlarge;4;16;5535;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1220;1,7696;1291,79;15501,44;1,2245;893,87;10726,46;32179,39;2,7046;1974,33;23692,01;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6i.12xlarge;48;192;74280;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1221;2,3423;1709,91;20518,96;1,6172;1180,58;14167,01;42501,04;3,5704;2606,42;31277,05;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6i.16xlarge;64;256;99040;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1222;3,4879;2546,17;30554;2,4028;1754,02;21048,19;63144,57;5,3022;3870,59;46447,14;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6i.24xlarge;96;384;148560;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1223;0,3376;246,48;2957,72;0,2426;177,08;2125,01;6375,03;0,5399;394,12;4729,41;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6i.2xlarge;8;32;12380;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1224;4,6334;3382,41;40588,97;3,1883;2327,45;27929,37;83788,1;7,0339;5134,77;61617,22;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6i.32xlarge;128;512;198080;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1225;0,624;455,54;5466,48;0,439;320,44;3845,29;11535,86;0,9728;710,16;8521,93;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6i.4xlarge;16;64;24760;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1226;1,1968;873,67;10484;0,8317;607,16;7285,91;21857,74;1,8387;1342,25;16106,97;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6i.8xlarge;32;128;49520;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1227;0,093;67,88;814,57;0,0683;49,89;598,71;1796,13;0,1564;114,18;1370,1;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6i.large;2;8;3095;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1228;0,186;135,76;1629,13;0,1367;99,78;1197,42;3592,25;0,2646;193,19;2318,23;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6i.xlarge;4;16;6190;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1229;2,0834;1520,85;18250,19;1,4396;1050,94;12611,33;37833,99;3,3325;2432,73;29192,82;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6id.12xlarge;48;192;74280;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1230;2,7607;2015,33;24183,92;1,9041;1390,01;16680,12;50040,36;4,4077;3217,62;38611,46;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6id.16xlarge;64;256;99040;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1231;4,1155;3004,29;36051,43;2,8331;2068,15;24817,85;74453,55;6,5581;4787,4;57448,74;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6id.24xlarge;96;384;148560;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1232;0,3899;284,65;3415,82;0,2784;203,26;2439,13;7317,39;0,6445;470,52;5646,21;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6id.2xlarge;8;32;12380;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1233;5,4702;3993,25;47918,95;3,7621;2746,3;32955,58;98866,74;8,7085;6357,17;76286,03;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6id.32xlarge;128;512;198080;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1234;0,7286;531,89;6382,68;0,5107;372,8;4473,6;13420,8;1,1821;862,96;10355,53;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6id.4xlarge;16;64;24760;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1235;1,406;1026,37;12316,47;0,9752;711,87;8542,47;25627,4;2,2573;1647,85;19774,17;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6id.8xlarge;32;128;49520;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1236;0,1061;77,42;929,09;0,0773;56,44;677,26;2031,77;0,1826;133,28;1599,3;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6id.large;2;8;3095;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1237;0,2121;154,85;1858,19;0,1546;112,88;1354,51;4063,54;0,317;231,39;2776,63;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6id.xlarge;4;16;6190;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1238;2,7235;1988,13;23857,58;1,6811;1227,24;14726,82;44180,47;4,3486;3174,45;38093,4;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6idn.12xlarge;48;192;74280;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1239;3,6142;2638,37;31660,43;2,2261;1625,07;19500,83;58502,48;5,7624;4206,58;50478,9;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6idn.16xlarge;64;256;99040;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1240;5,3957;3938,84;47266,13;3,3161;2420,74;29048,84;87146,51;8,5902;6270,83;75249,91;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6idn.24xlarge;96;384;148560;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1241;0,4966;362,53;4350,38;0,3187;232,65;2791,77;8375,32;0,8139;594,14;7129,64;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6idn.2xlarge;8;32;12380;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1242;7,1772;5239,32;62871,9;4,406;3216,4;38596,84;115790,53;11,4179;8335,08;100020,91;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6idn.32xlarge;128;512;198080;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1243;0,942;687,65;8251,81;0,5912;431,56;5178,74;15536,22;1,5208;1110,2;13322,39;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6idn.4xlarge;16;64;24760;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1244;1,8327;1337,89;16054,65;1,1362;829,4;9952,74;29858,23;2,9347;2142,32;25707,89;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6idn.8xlarge;32;128;49520;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1245;0,1327;96,89;1162,71;0,0874;63,78;765,4;2296,2;0,2249;164,18;1970,16;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6idn.large;2;8;3095;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1246;0,2655;193,79;2325,5;0,1747;127,57;1530,8;4592,4;0,4016;293,2;3518,35;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6idn.xlarge;4;16;6190;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1247;2,4246;1769,98;21239,77;1,4983;1093,76;13125,12;39375,36;3,8742;2828,18;33938,11;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6in.12xlarge;48;192;74280;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1248;3,2157;2347,5;28169,96;1,9823;1447,1;17365,25;52095,74;5,13;3744,88;44938,52;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6in.16xlarge;64;256;99040;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1249;4,798;3502,54;42030,5;2,9504;2153,79;25845,5;77536,51;7,6415;5578,28;66939,34;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6in.24xlarge;96;384;148560;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1250;0,4468;326,17;3914,09;0,2882;210,4;2524,8;7574,4;0,7348;536,42;6437,09;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6in.2xlarge;8;32;12380;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1251;6,3803;4657,59;55891,04;3,9185;2860,48;34325,76;102977,28;10,153;7411,68;88940,16;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6in.32xlarge;128;512;198080;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1252;0,8424;614,94;7379,23;0,5302;387,07;4644,86;13934,59;1,3627;994,77;11937,3;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6in.4xlarge;16;64;24760;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1253;1,6335;1192,46;14309,5;1,0143;740,42;8884,99;26654,97;2,6185;1911,48;22937,71;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6in.8xlarge;32;128;49520;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1254;0,1203;87,81;1053,66;0,0798;58,22;698,69;2096,08;0,2051;149,75;1797,03;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6in.large;2;8;3095;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1255;0,2406;175,61;2107,32;0,1595;116,44;1397,31;4191,93;0,3621;264,34;3172,08;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m6in.xlarge;4;16;6190;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1256;1,8554;1354,46;16253,5;1,2833;936,84;11242,13;33726,38;2,8343;2069,07;24828,87;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m7i.12xlarge;48;192;101220;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1257;2,4568;1793,47;21521,66;1,6957;1237,88;14854,61;44563,84;3,7435;2732,74;32792,86;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m7i.16xlarge;64;256;123300;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1258;3,6596;2671,5;32058,04;2,5205;1839,96;22079,52;66238,55;5,5617;4060,07;48720,85;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m7i.24xlarge;96;384;167470;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1259;0,3519;256,92;3083,03;0,2524;184,25;2210,98;6632,94;0,5615;409,91;4918,88;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m7i.2xlarge;8;32;16870;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1260;7,2679;5305,59;63667,13;4,9948;3646,2;43754,37;131263,12;11,0165;8042,07;96504,81;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m7i.48xlarge;192;768;306020;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1261;0,6526;476,43;5717,11;0,4586;334,77;4017,22;12051,67;1,0161;741,74;8900,88;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m7i.4xlarge;16;64;33740;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1262;1,254;915,45;10985,34;0,871;635,8;7629,64;22888,91;1,9252;1405,41;16864,88;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m7i.8xlarge;32;128;67480;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1263;0,0966;70,49;845,9;0,0708;51,68;620,22;1860,66;0,1618;118,12;1417,47;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m7i.large;2;8;4218;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1264;0,1931;140,98;1691,79;0,1416;103,36;1240,36;3721,09;0,2755;201,08;2412,97;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;m7i.xlarge;4;16;8435;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1265;2,2143;1616,44;19397,32;1,5298;1116,77;13401,24;40203,72;3,5405;2584,56;31014,72;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;r5.12xlarge;48;384;69385;1;1;1;1;SUSE;eu-central-2;Europe (Zurich)
1266;2,9356;2142,97;25715,69;2,0235;1477,16;17725,91;53177,74;4,6844;3419,64;41035,67;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;r5.16xlarge;64;512;92513;1;1;1;1;SUSE;eu-central-2;Europe (Zurich)
1267;4,3773;3195,41;38344,93;3,0126;2199,19;26390,25;79170,74;6,974;5091,05;61092,56;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;r5.24xlarge;96;768;138770;1;0;1;1;SUSE;eu-central-2;Europe (Zurich)
1268;0,4115;300,43;3605,14;0,2935;214,23;2570,82;7712,46;0,6794;495,93;5951,11;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;r5.2xlarge;8;64;11564;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1269;0,7726;564,01;6768,08;0,5407;394,74;4736,9;14210,71;1,2518;913,78;10965,33;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;r5.4xlarge;16;128;23128;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1270;1,493;1089,91;13078,95;1,0353;755,76;9069,07;27207,21;2,3957;1748,86;20986,28;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;r5.8xlarge;32;256;46257;1;1;1;1;SUSE;eu-central-2;Europe (Zurich)
1271;0,1112;81,2;974,36;0,0813;59,34;712,03;2136,1;0,1917;139,91;1678,9;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;r5.large;2;16;2891;0;0;0;0;SUSE;eu-central-2;Europe (Zurich)
1272;4,3773;3195,41;38344,93;3,0126;2199,19;26390,25;79170,74;6,974;5091,05;61092,56;0,0505;0,1224;0,0977;0,1532;0,0556;0,0231;0,0221;0,0212;0,0038;r5.metal;96;768;143230;1;1;1;1;SUSE;eu-central-2;Europe (Zurich)
